Format Version,1.0,
Take Name,trial2-subject1-070220_001,
Capture Frame Rate,100.00,
Export Frame Rate,100.00,
Capture Start Time,07 Feb 2020 17:30:04 +0900,
Total Frames In Take,30272,
Total Exported Frames,30272,
Coordinate Space,Local,
Device Name,AMTI 3195 3195,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,1.00,

PlateLength,19.750000,
PlateWidth,19.750000,
PlateOrder,2,
PosX_PosY_X,1.001510,
PosX_PosY_Y,-0.003223,
PosX_PosY_Z,0.498871,
NegX_PosY_X,0.499539,
NegX_PosY_Y,-0.002777,
NegX_PosY_Z,0.499509,
NegX_NegY_X,0.499720,
NegX_NegY_Y,0.000446,
NegX_NegY_Z,-0.001964,
PosX_NegY_X,1.001690,
PosX_NegY_Y,0.000000,
PosX_NegY_Z,-0.002602,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz
71,0.710000,71,7.491943,-4.423340,-26.803711,1.539429,-0.761993,-4.389160,-0.028429,-0.057433,0.000000
72,0.720000,72,6.912354,-4.619629,-26.795898,1.590454,-0.707153,-3.498169,-0.026390,-0.059354,0.000000
73,0.730000,73,8.376953,-3.913818,-26.431641,1.595764,-0.639099,-3.952026,-0.024179,-0.060373,0.000000
74,0.740000,74,8.011719,-4.135986,-26.811523,1.578491,-0.722565,-4.103271,-0.026950,-0.058874,0.000000
75,0.750000,75,7.798828,-4.047607,-26.682617,1.553162,-0.704071,-3.699951,-0.026387,-0.058209,0.000000
76,0.760000,76,8.004395,-5.061035,-26.924805,1.624268,-0.654083,-3.884888,-0.024293,-0.060326,0.000000
77,0.770000,77,7.670410,-5.036377,-27.050781,1.600708,-0.687592,-4.052979,-0.025419,-0.059174,0.000000
78,0.780000,78,7.430420,-4.701172,-27.183594,1.569641,-0.669617,-4.338867,-0.024633,-0.057742,0.000000
79,0.790000,79,6.757813,-5.084473,-27.172852,1.579041,-0.689697,-4.002441,-0.025382,-0.058111,0.000000
80,0.800000,80,7.492920,-4.330811,-26.804688,1.583374,-0.761658,-3.683228,-0.028415,-0.059071,0.000000
81,0.810000,81,7.089844,-5.202148,-26.787109,1.604675,-0.656128,-3.867920,-0.024494,-0.059905,0.000000
82,0.820000,82,7.854736,-4.816895,-27.055664,1.595398,-0.729553,-3.868164,-0.026965,-0.058967,0.000000
83,0.830000,83,7.299805,-5.691162,-27.038086,1.662964,-0.724030,-3.649658,-0.026778,-0.061504,0.000000
84,0.840000,84,7.270508,-5.507080,-26.912109,1.589111,-0.724060,-3.952271,-0.026905,-0.059048,0.000000
85,0.850000,85,7.279053,-4.550293,-27.056641,1.681335,-0.792725,-4.069824,-0.029299,-0.062141,0.000000
86,0.860000,86,8.611328,-5.265137,-27.054688,1.559998,-0.709717,-4.187500,-0.026233,-0.057661,0.000000
87,0.870000,87,9.095703,-5.257080,-26.543945,1.605469,-0.647247,-3.901733,-0.024384,-0.060483,0.000000
88,0.880000,88,8.367676,-5.085693,-26.669922,1.624573,-0.691345,-3.935181,-0.025922,-0.060914,0.000000
89,0.890000,89,7.884277,-4.970215,-27.182617,1.622375,-0.801300,-4.238037,-0.029478,-0.059684,0.000000
90,0.900000,90,8.609375,-5.266602,-26.541016,1.559509,-0.684906,-4.052734,-0.025806,-0.058758,0.000000
91,0.910000,91,8.276855,-4.995117,-26.542969,1.552979,-0.717346,-3.952026,-0.027026,-0.058508,0.000000
92,0.920000,92,8.211914,-5.888916,-27.425781,1.598694,-0.699707,-4.086670,-0.025513,-0.058292,0.000000
93,0.930000,93,8.331543,-5.857422,-26.786133,1.620483,-0.647186,-4.170654,-0.024161,-0.060497,0.000000
94,0.940000,94,8.001953,-5.154785,-26.538086,1.649353,-0.725555,-3.666260,-0.027340,-0.062150,0.000000
95,0.950000,95,8.670898,-5.111328,-26.415039,1.532532,-0.682465,-3.918457,-0.025836,-0.058017,0.000000
96,0.960000,96,8.154785,-5.089844,-26.668945,1.578552,-0.649475,-3.851196,-0.024353,-0.059191,0.000000
97,0.970000,97,8.155273,-5.181641,-26.923828,1.673401,-0.698090,-3.884888,-0.025928,-0.062153,0.000000
98,0.980000,98,8.547852,-5.513672,-26.920898,1.589050,-0.688110,-4.238037,-0.025560,-0.059027,0.000000
99,0.990000,99,8.122559,-5.214355,-26.409180,1.627563,-0.698242,-3.935181,-0.026439,-0.061629,0.000000
100,1.000000,100,7.663574,-5.777344,-26.911133,1.687988,-0.665985,-3.901733,-0.024748,-0.062725,0.000000
101,1.010000,101,8.274902,-5.303467,-26.666016,1.583740,-0.694672,-3.851196,-0.026051,-0.059392,0.000000
102,1.020000,102,8.213379,-5.550537,-27.046875,1.705566,-0.650055,-3.985718,-0.024034,-0.063060,0.000000
103,1.030000,103,7.182617,-5.230469,-27.172852,1.628784,-0.797852,-4.238037,-0.029362,-0.059942,0.000000
104,1.040000,104,7.972900,-5.246338,-27.049805,1.605774,-0.727600,-4.187500,-0.026899,-0.059364,0.000000
105,1.050000,105,7.484863,-5.501953,-27.298828,1.566101,-0.694733,-4.204346,-0.025449,-0.057369,0.000000
106,1.060000,106,7.702881,-4.666260,-26.799805,1.591431,-0.780731,-4.069824,-0.029132,-0.059382,0.000000
107,1.070000,107,7.214844,-4.829590,-26.794922,1.549316,-0.747101,-3.834351,-0.027882,-0.057821,0.000000
108,1.080000,108,7.764404,-4.848877,-27.311523,1.550232,-0.732697,-3.985718,-0.026827,-0.056761,0.000000
109,1.090000,109,8.250488,-4.748047,-26.931641,1.570435,-0.694061,-3.582397,-0.025771,-0.058312,0.000000
110,1.100000,110,8.156250,-5.088867,-26.924805,1.486328,-0.745605,-4.052979,-0.027692,-0.055203,0.000000
111,1.110000,111,7.643066,-4.605225,-26.929688,1.567017,-0.758545,-3.464722,-0.028168,-0.058189,0.000000
112,1.120000,112,8.492188,-4.713379,-26.547852,1.546143,-0.686432,-3.767090,-0.025856,-0.058240,0.000000
113,1.130000,113,7.398438,-4.457275,-26.289063,1.585938,-0.715912,-3.464600,-0.027232,-0.060327,0.000000
114,1.140000,114,8.036133,-4.722168,-26.544922,1.592529,-0.651459,-3.733521,-0.024542,-0.059994,0.000000
115,1.150000,115,7.184570,-4.860840,-26.921875,1.527039,-0.772247,-3.464722,-0.028685,-0.056721,0.000000
116,1.160000,116,7.490967,-4.608154,-26.928711,1.613342,-0.691071,-3.784058,-0.025663,-0.059912,0.000000
117,1.170000,117,7.859619,-4.169189,-26.938477,1.510193,-0.751068,-4.086670,-0.027881,-0.056061,0.000000
118,1.180000,118,7.879883,-5.310547,-26.791992,1.561035,-0.729950,-3.952026,-0.027245,-0.058265,0.000000
119,1.190000,119,7.277344,-4.643555,-26.797852,1.544739,-0.696960,-4.069824,-0.026008,-0.057644,0.000000
120,1.200000,120,7.794922,-4.571777,-26.802734,1.635315,-0.682190,-3.851196,-0.025452,-0.061013,0.000000
121,1.210000,121,7.461426,-4.270508,-26.419922,1.558411,-0.689880,-3.750366,-0.026112,-0.058986,0.000000
122,1.220000,122,6.827881,-4.003174,-27.190430,1.645020,-0.780029,-3.985718,-0.028688,-0.060500,0.000000
123,1.230000,123,7.165527,-3.381348,-26.561523,1.513733,-0.719513,-3.498169,-0.027089,-0.056990,0.000000
124,1.240000,124,7.374268,-3.901489,-26.681641,1.549622,-0.715546,-3.851196,-0.026818,-0.058078,0.000000
125,1.250000,125,6.523926,-3.824829,-26.805664,1.524902,-0.763397,-3.817627,-0.028479,-0.056887,0.000000
126,1.260000,126,6.279785,-3.952637,-26.930664,1.551270,-0.746948,-4.086670,-0.027736,-0.057602,0.000000
127,1.270000,127,6.033203,-4.358398,-26.921875,1.561218,-0.779083,-3.717041,-0.028939,-0.057991,0.000000
128,1.280000,128,7.522949,-4.483887,-27.058594,1.541077,-0.785706,-3.884888,-0.029037,-0.056953,0.000000
129,1.290000,129,7.582520,-4.636963,-27.056641,1.591064,-0.760590,-3.817871,-0.028111,-0.058805,0.000000
130,1.300000,130,6.968506,-5.173584,-26.787109,1.650208,-0.707306,-3.363770,-0.026405,-0.061605,0.000000
131,1.310000,131,6.975342,-4.371582,-26.799805,1.538208,-0.752441,-3.784058,-0.028076,-0.057396,0.000000
132,1.320000,132,6.089111,-4.789795,-26.659180,1.617737,-0.802368,-3.447754,-0.030097,-0.060682,0.000000
133,1.330000,133,7.429199,-4.456299,-26.416992,1.609131,-0.739258,-3.515015,-0.027984,-0.060913,0.000000
134,1.340000,134,6.454346,-4.967041,-27.043945,1.552979,-0.817291,-3.884888,-0.030221,-0.057424,0.000000
135,1.350000,135,6.672852,-4.069336,-26.545898,1.530701,-0.783417,-3.531860,-0.029512,-0.057662,0.000000
136,1.360000,136,6.699463,-4.562256,-26.666992,1.612061,-0.784485,-3.968750,-0.029418,-0.060452,0.000000
137,1.370000,137,6.452637,-5.274902,-27.295898,1.606934,-0.818787,-3.447998,-0.029997,-0.058871,0.000000
138,1.380000,138,7.089355,-5.018311,-26.278320,1.599731,-0.750275,-3.431030,-0.028551,-0.060876,0.000000
139,1.390000,139,7.579102,-4.731201,-26.414063,1.569641,-0.759827,-3.565552,-0.028766,-0.059424,0.000000
140,1.400000,140,7.944824,-4.570068,-26.291016,1.634827,-0.748779,-3.699951,-0.028480,-0.062182,0.000000
141,1.410000,141,8.128906,-4.565918,-26.676758,1.565857,-0.696411,-3.632690,-0.026106,-0.058697,0.000000
142,1.420000,142,8.647461,-4.585938,-27.065430,1.589661,-0.682648,-4.120361,-0.025222,-0.058734,0.000000
143,1.430000,143,8.703125,-4.833252,-26.291992,1.548767,-0.656494,-3.935181,-0.024969,-0.058906,0.000000
144,1.440000,144,8.434570,-4.313721,-26.426758,1.513123,-0.686584,-3.817627,-0.025981,-0.057257,0.000000
145,1.450000,145,7.272705,-5.260010,-26.916016,1.629272,-0.771027,-3.733765,-0.028646,-0.060532,0.000000
146,1.460000,146,6.758057,-4.991943,-27.045898,1.553589,-0.784851,-3.615967,-0.029019,-0.057443,0.000000
147,1.470000,147,6.306885,-4.353027,-26.923828,1.607178,-0.795319,-3.834595,-0.029540,-0.059694,0.000000
148,1.480000,148,6.672363,-3.885376,-26.036133,1.571838,-0.781952,-3.699951,-0.030033,-0.060371,0.000000
149,1.490000,149,7.396973,-5.041260,-27.176758,1.531677,-0.767365,-4.052979,-0.028236,-0.056360,0.000000
150,1.500000,150,6.911377,-4.651123,-26.538086,1.637146,-0.754639,-3.683228,-0.028436,-0.061690,0.000000
151,1.510000,151,7.276611,-4.766357,-26.923828,1.570984,-0.817200,-4.238037,-0.030352,-0.058349,0.000000
152,1.520000,152,7.091553,-5.201416,-27.172852,1.581848,-0.824249,-4.355713,-0.030334,-0.058214,0.000000
153,1.530000,153,7.242188,-5.015137,-26.407227,1.576660,-0.746216,-4.103271,-0.028258,-0.059706,0.000000
154,1.540000,154,6.660889,-5.457764,-26.524414,1.656921,-0.788116,-3.851196,-0.029713,-0.062468,0.000000
155,1.550000,155,7.794434,-4.510742,-26.546875,1.587463,-0.657562,-3.968750,-0.024770,-0.059799,0.000000
156,1.560000,156,8.765137,-5.015625,-26.930664,1.530701,-0.680450,-4.103271,-0.025267,-0.056839,0.000000
157,1.570000,157,8.219727,-4.687256,-26.803711,1.591919,-0.718414,-3.733521,-0.026803,-0.059392,0.000000
158,1.580000,158,8.189941,-4.564697,-26.677734,1.519531,-0.694702,-3.733521,-0.026041,-0.056959,0.000000
159,1.590000,159,8.370605,-4.777100,-26.675781,1.478516,-0.666412,-3.649414,-0.024982,-0.055425,0.000000
160,1.600000,160,6.781738,-5.854980,-27.160156,1.597900,-0.787170,-3.851318,-0.028983,-0.058833,0.000000
161,1.610000,161,7.517578,-4.824707,-26.411133,1.571899,-0.737885,-4.019287,-0.027938,-0.059517,0.000000
162,1.620000,162,7.882324,-4.879150,-26.541992,1.596375,-0.728088,-3.683228,-0.027432,-0.060145,0.000000
163,1.630000,163,8.031738,-5.277100,-26.664063,1.583130,-0.653534,-3.867920,-0.024510,-0.059373,0.000000
164,1.640000,164,8.553711,-4.681152,-26.677734,1.522278,-0.684845,-3.985718,-0.025671,-0.057062,0.000000
165,1.650000,165,7.759766,-5.250488,-27.047852,1.559753,-0.637939,-3.968994,-0.023586,-0.057666,0.000000
166,1.660000,166,8.374512,-4.191650,-26.427734,1.510193,-0.687866,-3.985718,-0.026028,-0.057144,0.000000
167,1.670000,167,8.011230,-4.350830,-27.192383,1.514771,-0.747894,-3.985718,-0.027504,-0.055706,0.000000
168,1.680000,168,7.275146,-4.951660,-26.921875,1.621765,-0.674286,-3.615967,-0.025046,-0.060240,0.000000
169,1.690000,169,7.064941,-4.862061,-27.434570,1.619995,-0.800415,-4.103271,-0.029175,-0.059049,0.000000
170,1.700000,170,7.618164,-3.957886,-26.939453,1.597412,-0.781158,-4.322021,-0.028997,-0.059296,0.000000
171,1.710000,171,7.649170,-3.772827,-26.686523,1.546387,-0.755280,-4.204346,-0.028302,-0.057946,0.000000
172,1.720000,172,8.282715,-4.346924,-26.681641,1.560425,-0.691376,-4.019287,-0.025912,-0.058483,0.000000
